Date,Cloud Agent ID,Automation ID,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2026-05-31T20:36:20.330Z","bc-dbc14089-b308-4a61-9c96-ed3b8fc8a6ce","","Included","gpt-5.5-high","Yes","0","4837","459776","1116","465729","Included"
"2026-05-31T20:30:19.646Z","bc-dbc14089-b308-4a61-9c96-ed3b8fc8a6ce","","Included","gpt-5.5-high","Yes","0","6443","458240","560","465243","Included"
"2026-05-31T20:28:11.375Z","bc-dbc14089-b308-4a61-9c96-ed3b8fc8a6ce","","Included","gpt-5.5-high","Yes","0","5345","457216","849","463410","Included"
"2026-05-31T20:27:13.834Z","bc-dbc14089-b308-4a61-9c96-ed3b8fc8a6ce","","Included","gpt-5.5-high","Yes","0","4408","456704","168","461280","Included"
"2026-05-31T20:24:23.239Z","bc-dbc14089-b308-4a61-9c96-ed3b8fc8a6ce","","Included","gpt-5.5-high","Yes","0","6121","454656","337","461114","Included"
"2026-05-31T20:18:19.437Z","bc-dbc14089-b308-4a61-9c96-ed3b8fc8a6ce","","Included","gpt-5.5-high","Yes","0","5365","453632","1236","460233","Included"
"2026-05-31T20:11:50.037Z","bc-dbc14089-b308-4a61-9c96-ed3b8fc8a6ce","","Included","gpt-5.5-high","Yes","0","458648","0","577","459225","Included"
"2026-05-31T19:31:49.974Z","bc-dbc14089-b308-4a61-9c96-ed3b8fc8a6ce","","Included","gpt-5.5-high","Yes","0","14698","440320","1145","456163","Included"
"2026-05-31T19:26:32.524Z","bc-dbc14089-b308-4a61-9c96-ed3b8fc8a6ce","","Included","gpt-5.5-high","Yes","0","22403","869888","1832","894123","Included"
"2026-05-31T19:20:27.509Z","bc-dbc14089-b308-4a61-9c96-ed3b8fc8a6ce","","Included","gpt-5.5-high","Yes","0","25137","2149888","1685","2176710","Included"
"2026-05-31T19:15:32.274Z","bc-dbc14089-b308-4a61-9c96-ed3b8fc8a6ce","","Included","gpt-5.5-high","Yes","0","3191","428032","742","431965","Included"
"2026-05-31T19:15:13.075Z","bc-dbc14089-b308-4a61-9c96-ed3b8fc8a6ce","","Included","gpt-5.5-high","No","0","2304","0","90","2394","Included"
"2026-05-31T19:05:58.961Z","bc-dbc14089-b308-4a61-9c96-ed3b8fc8a6ce","","Included","gpt-5.5-high","Yes","0","4458","427008","325","431791","Included"
"2026-05-31T19:04:48.586Z","bc-dbc14089-b308-4a61-9c96-ed3b8fc8a6ce","","Included","gpt-5.5-high","Yes","0","4804","426496","619","431919","Included"
"2026-05-31T19:00:33.394Z","bc-dbc14089-b308-4a61-9c96-ed3b8fc8a6ce","","Included","gpt-5.5-high","Yes","0","4643","425472","348","430463","Included"
