stem,linea,color_excel,archivo_esperado
600287_4372.jpg,600287,4372,600287_4372.jpg
600287_6788.jpg,600287,6788,600287_6788.jpg
600763_70147.jpg,600763,70147,600763_70147.jpg
600763_9010.jpg,600763,9010,600763_9010.jpg
600841_12969.jpg,600841,12969,600841_12969.jpg
600847_9010.jpg,600847,9010,600847_9010.jpg
600850_40056.jpg,600850,40056,600850_40056.jpg
600850_6766.jpg,600850,6766,600850_6766.jpg
600878_12948.jpg,600878,12948,600878_12948.jpg
600886_0467.jpg,600886,0467,600886_0467.jpg
7498_70081.jpg,7498,70081,7498_70081.jpg
80289_0001.jpg,80289,0001,80289_0001.jpg
80917_6826.jpg,80917,6826,80917_6826.jpg
81520_11111.jpg,81520,11111,81520_11111.jpg
8318_3422.jpg,8318,3422,8318_3422.jpg
8319_3430.jpg,8319,3430,8319_3430.jpg
8319_7790.jpg,8319,7790,8319_7790.jpg
8320_70127.jpg,8320,70127,8320_70127.jpg
9076_11111.jpg,9076,11111,9076_11111.jpg
9333_2287.jpg,9333,2287,9333_2287.jpg
9420_3263.jpg,9420,3263,9420_3263.jpg
9565_3400.jpg,9565,3400,9565_3400.jpg
9674_6729.jpg,9674,6729,9674_6729.jpg
